town_name,stop_No,stop_name,mobile_code,x,y,city_code,city_name,county_name,area,count_per_area
상계동,115,115,115,115,115,115,115,115,15.6784035,7.334930498503882
서초동,108,108,108,108,108,108,108,108,6.412349,16.842501866320752
신림동,90,90,90,90,90,90,90,90,18.1377226,4.962034208197671
신정동,84,84,84,84,84,84,84,84,7.1327105,11.776729197126395
시흥동,75,75,75,75,75,75,75,75,6.295568,11.913142706106898
양재동,71,71,71,71,71,71,71,71,4.0714523,17.43849485845628
가산동,69,69,69,69,69,69,69,69,2.5168877000000003,27.414810760130454
여의도동,68,68,68,68,68,68,68,68,8.4332689,8.063302712901756
진관동,68,68,68,68,68,68,68,68,11.5299049,5.897706927313858
구로동,54,54,54,54,54,54,54,54,5.2868106,10.214097701930159
독산동,53,53,53,53,53,53,53,53,4.2080719,12.594841832431618
신월동,51,51,51,51,51,51,51,51,4.935759099999999,10.332757123417958
상암동,49,49,49,49,49,49,49,49,8.3626641,5.859376798357834
봉천동,48,48,48,48,48,48,48,48,8.1625684,5.88050202433832
신길동,48,48,48,48,48,48,48,48,3.603432,13.320634328606728
대치동,48,48,48,48,48,48,48,48,3.7913742999999998,12.660316867158171
장지동,47,47,47,47,47,47,47,47,2.7204455,17.276582089220316
화곡동,46,46,46,46,46,46,46,46,6.334051,7.262334957517709
공릉동,45,45,45,45,45,45,45,45,8.2377752,5.46263996133325
역삼동,41,41,41,41,41,41,41,41,3.4975221000000003,11.722584969513129
도봉동,41,41,41,41,41,41,41,41,9.5512694,4.292623135517463
강일동,39,39,39,39,39,39,39,39,2.2672042,17.201802995954225
공항동,39,39,39,39,39,39,39,39,2.9059947000000004,13.420533767663098
방화동,38,38,38,38,38,38,38,38,4.7382557,8.019828900327182
성산동,38,38,38,38,38,38,38,38,2.5630672999999997,14.825986036340131
개봉동,38,38,38,38,38,38,38,38,2.926127,12.986449323628126
신내동,37,37,37,37,37,37,37,37,3.5144575,10.52794065655937
면목동,36,36,36,36,36,36,36,36,6.0287965,5.971341046260227
반포동,36,36,36,36,36,36,36,36,4.7843176,7.5245840702548685
상일동,36,36,36,36,36,36,36,36,2.9233169,12.314778462779728
구의동,34,34,34,34,34,34,34,34,2.9985665,11.33875136669472
신사동,33,33,33,33,33,33,33,33,1.7233356000000002,19.148910984024237
우면동,33,33,33,33,33,33,33,33,4.1282406,7.993720133463151
거여동,32,32,32,32,32,32,32,32,2.3925867999999997,13.37464538381638
방배동,32,32,32,32,32,32,32,32,6.7349071,4.751364721868249
방이동,31,31,31,31,31,31,31,31,4.468042400000001,6.938161553704145
가양동,31,31,31,31,31,31,31,31,2.4629871,12.586342819253906
중계동,30,30,30,30,30,30,30,30,5.2174094,5.749980057152501
목동,30,30,30,30,30,30,30,30,5.3375701,5.620535082059157
도곡동,30,30,30,30,30,30,30,30,2.0382312,14.718644283337436
망우동,29,29,29,29,29,29,29,29,3.8693133,7.494869955348408
잠실동,29,29,29,29,29,29,29,29,5.2119419,5.5641449111318755
천왕동,28,28,28,28,28,28,28,28,1.5149536000000001,18.482414246878584
천호동,27,27,27,27,27,27,27,27,3.0654625,8.80780632612534
삼성동,27,27,27,27,27,27,27,27,3.1935898,8.454435820154487
신원동,26,26,26,26,26,26,26,26,2.7740547999999996,9.372561782124853
가락동,26,26,26,26,26,26,26,26,3.4318744,7.576034833908841
방학동,25,25,25,25,25,25,25,25,4.0502215,6.172501923660224
불광동,25,25,25,25,25,25,25,25,4.5131772,5.539334905795411
내곡동,24,24,24,24,24,24,24,24,8.2660383,2.903446503508216
미아동,23,23,23,23,23,23,23,23,4.3738644,5.25850778547227
신천동,22,22,22,22,22,22,22,22,4.3463107999999995,5.0617641057790905
상도동,21,21,21,21,21,21,21,21,3.5531155,5.9103060398683915
항동,21,21,21,21,21,21,21,21,1.4379936,14.603681129039796
창천동,21,21,21,21,21,21,21,21,0.6072652,34.5812669654049
청담동,21,21,21,21,21,21,21,21,2.3329095,9.001635082715381
잠원동,21,21,21,21,21,21,21,21,3.0358754,6.917279938432255
자곡동,20,20,20,20,20,20,20,20,2.666412,7.500716318408409
개포동,20,20,20,20,20,20,20,20,5.4246935999999994,3.686844174941051
등촌동,20,20,20,20,20,20,20,20,2.6225735,7.626097037890453
갈현동,20,20,20,20,20,20,20,20,1.936488,10.327975179810048
서교동,20,20,20,20,20,20,20,20,1.182109,16.918913568884086
둔촌동,19,19,19,19,19,19,19,19,2.4615118,7.7188336046164805
세곡동,19,19,19,19,19,19,19,19,2.4195199,7.852797573601275
북가좌동,19,19,19,19,19,19,19,19,1.4017064,13.55490707611808
중곡동,19,19,19,19,19,19,19,19,4.092092,4.643101865744954
논현동,19,19,19,19,19,19,19,19,2.717301,6.992232365865982
일원동,19,19,19,19,19,19,19,19,3.1033551,6.122406037259481
용두동,19,19,19,19,19,19,19,19,1.2725347,14.930830569885442
응암동,18,18,18,18,18,18,18,18,2.612392,6.890236993529302
개화동,18,18,18,18,18,18,18,18,4.7856350999999995,3.7612562646073875
성내동,18,18,18,18,18,18,18,18,1.9589591000000002,9.188553247487402
풍납동,18,18,18,18,18,18,18,18,2.3563816,7.638830654593466
명일동,18,18,18,18,18,18,18,18,1.575542,11.42463990169732
묵동,17,17,17,17,17,17,17,17,1.9014179,8.940696308791455
수서동,17,17,17,17,17,17,17,17,2.6291736,6.465910048693627
자양동,17,17,17,17,17,17,17,17,4.608660400000001,3.688707460415178
문정동,17,17,17,17,17,17,17,17,2.6088082000000004,6.5163855280737
온수동,16,16,16,16,16,16,16,16,0.8404698,19.036971941169092
청량리동,16,16,16,16,16,16,16,16,1.1973992,13.362293878265493
녹번동,16,16,16,16,16,16,16,16,1.7909073999999998,8.934018587449023
노량진동,16,16,16,16,16,16,16,16,1.4674968000000002,10.902919856452156
마곡동,16,16,16,16,16,16,16,16,5.3724024,2.9781834659295066
오금동,16,16,16,16,16,16,16,16,1.6515366999999999,9.68794698900727
궁동,15,15,15,15,15,15,15,15,1.8230643999999998,8.227904620374355
