town_name,No,park_name,park_type,park_area,address,given_co,city_name,county_name,x,y,area,count_per_area
가락동,17,17,17,17,17,17,17,17,17,17,3.4318744,4.95356123755578
가산동,3,3,3,3,3,3,3,3,3,3,2.5168877000000003,1.1919482939187154
가양동,15,15,15,15,15,15,15,15,15,15,2.4629871,6.090165880284148
갈현동,8,8,8,8,8,8,8,8,8,8,1.936488,4.131190071924019
강일동,1,1,1,1,1,1,1,1,1,1,2.2672042,0.44107187169113393
개봉동,9,9,9,9,9,9,9,9,9,9,2.926127,3.075737997701398
개포동,16,16,16,16,16,16,16,16,16,16,5.4246935999999994,2.949475339952841
개화동,1,1,1,1,1,1,1,1,1,1,4.7856350999999995,0.2089586813670771
거여동,11,11,11,11,11,11,11,11,11,11,2.3925867999999997,4.597534350686881
고덕동,11,11,11,11,11,11,11,11,11,11,4.0158142,2.7391705522631
고척동,10,10,10,10,10,10,10,10,10,10,2.1784233,4.590476056696603
공덕동,5,5,5,5,5,5,5,5,5,5,0.7659194,6.528102043113153
공릉동,19,19,19,19,19,19,19,19,19,19,8.2377752,2.3064479836740386
공항동,5,5,5,5,5,5,5,5,5,5,2.9059947000000004,1.7205812522644999
광장동,2,2,2,2,2,2,2,2,2,2,2.3945557,0.8352280132802924
구로동,11,11,11,11,11,11,11,11,11,11,5.2868106,2.080649531874662
구산동,9,9,9,9,9,9,9,9,9,9,1.381546,6.514441068194617
구의동,10,10,10,10,10,10,10,10,10,10,2.9985665,3.3349268725572703
군자동,2,2,2,2,2,2,2,2,2,2,0.734287,2.7237306393821488
궁동,2,2,2,2,2,2,2,2,2,2,1.8230643999999998,1.0970539493832474
금호동2가,2,2,2,2,2,2,2,2,2,2,0.3021697,6.6187973181957025
금호동3가,2,2,2,2,2,2,2,2,2,2,0.3275562,6.105822451231269
금호동4가,2,2,2,2,2,2,2,2,2,2,0.7994532,2.5017099187294516
길동,4,4,4,4,4,4,4,4,4,4,1.6112078,2.4826096298689713
길음동,9,9,9,9,9,9,9,9,9,9,1.2335163999999998,7.296214302460836
남가좌동,9,9,9,9,9,9,9,9,9,9,1.2589115,7.1490331131298746
남대문로5가,1,1,1,1,1,1,1,1,1,1,0.2291097,4.3647213540064
남현동,6,6,6,6,6,6,6,6,6,6,3.2680778999999998,1.8359415483945474
내곡동,5,5,5,5,5,5,5,5,5,5,8.2660383,0.6048846882308784
내발산동,9,9,9,9,9,9,9,9,9,9,1.6495842,5.455920346472766
내수동,2,2,2,2,2,2,2,2,2,2,0.0703925,28.41211776822815
노고산동,1,1,1,1,1,1,1,1,1,1,0.3074828,3.2522144328072984
녹번동,11,11,11,11,11,11,11,11,11,11,1.7909073999999998,6.142137778871203
논현동,9,9,9,9,9,9,9,9,9,9,2.717301,3.312110068041781
능동,2,2,2,2,2,2,2,2,2,2,1.1028627,1.813462364807514
다동,1,1,1,1,1,1,1,1,1,1,0.0587701,17.015455137901757
답십리동,7,7,7,7,7,7,7,7,7,7,1.6598845,4.217160892821157
당산동3가,1,1,1,1,1,1,1,1,1,1,0.3633332,2.752294587998014
당산동4가,3,3,3,3,3,3,3,3,3,3,0.2952427,10.161131841701758
당산동5가,4,4,4,4,4,4,4,4,4,4,0.2887916,13.850818375603723
당산동6가,1,1,1,1,1,1,1,1,1,1,0.16728210000000002,5.977925910781846
당인동,1,1,1,1,1,1,1,1,1,1,0.321574,3.1097041427478587
대림동,9,9,9,9,9,9,9,9,9,9,1.9970641,4.506615486202971
대방동,2,2,2,2,2,2,2,2,2,2,1.5304031,1.3068452357421387
대조동,4,4,4,4,4,4,4,4,4,4,0.848921,4.711863648089752
대치동,11,11,11,11,11,11,11,11,11,11,3.7913742999999998,2.901322615390414
대현동,1,1,1,1,1,1,1,1,1,1,0.46725520000000004,2.1401580977589973
대흥동,2,2,2,2,2,2,2,2,2,2,0.6052951,3.304173451924524
도곡동,9,9,9,9,9,9,9,9,9,9,2.0382312,4.415593285001231
도림동,2,2,2,2,2,2,2,2,2,2,0.5887444000000001,3.397059912586854
도봉동,17,17,17,17,17,17,17,17,17,17,9.5512694,1.7798681293608993
도원동,1,1,1,1,1,1,1,1,1,1,0.08848610000000001,11.3012100205569
도화동,3,3,3,3,3,3,3,3,3,3,0.5850813,5.127492538216483
독산동,26,26,26,26,26,26,26,26,26,26,4.2080719,6.178601653645699
돈암동,3,3,3,3,3,3,3,3,3,3,1.1315553,2.651218194992326
동교동,2,2,2,2,2,2,2,2,2,2,0.4139786,4.831167601417079
동숭동,1,1,1,1,1,1,1,1,1,1,0.3653079,2.7374168475414846
동자동,3,3,3,3,3,3,3,3,3,3,0.2890529,10.37872306418652
