town_code,date,city_name,county_name,town_name,sub_town_name,total,men,women,20~29_men,20~29_women,30~39_women,30~39_men
1111010100,2024-01-31,서울특별시,종로구,청운동,청운동,2274,1119,1155,166,115,132,108
1111010200,2024-01-31,서울특별시,종로구,신교동,신교동,1341,600,741,92,94,83,65
1111010300,2024-01-31,서울특별시,종로구,궁정동,궁정동,217,94,123,16,13,19,5
1111010400,2024-01-31,서울특별시,종로구,효자동,효자동,568,261,307,36,28,56,37
1111010500,2024-01-31,서울특별시,종로구,창성동,창성동,404,168,236,11,21,36,27
1111010600,2024-01-31,서울특별시,종로구,통의동,통의동,323,166,157,25,16,23,44
1111010700,2024-01-31,서울특별시,종로구,적선동,적선동,38,18,20,0,1,5,2
1111010800,2024-01-31,서울특별시,종로구,통인동,통인동,708,316,392,38,46,48,44
1111010900,2024-01-31,서울특별시,종로구,누상동,누상동,3177,1429,1748,179,211,211,171
1111011000,2024-01-31,서울특별시,종로구,누하동,누하동,780,341,439,44,46,72,57
1111011100,2024-01-31,서울특별시,종로구,옥인동,옥인동,1854,842,1012,92,139,169,168
1111011200,2024-01-31,서울특별시,종로구,체부동,체부동,683,340,343,40,32,42,51
1111011300,2024-01-31,서울특별시,종로구,필운동,필운동,981,448,533,58,80,66,64
1111011400,2024-01-31,서울특별시,종로구,내자동,내자동,82,34,48,2,2,6,5
1111011500,2024-01-31,서울특별시,종로구,사직동,사직동,3166,1393,1773,144,195,223,181
1111011600,2024-01-31,서울특별시,종로구,도렴동,도렴동,2,2,0,0,0,0,1
1111011700,2024-01-31,서울특별시,종로구,당주동,당주동,287,131,156,13,8,12,14
1111011800,2024-01-31,서울특별시,종로구,내수동,내수동,2632,1092,1540,121,223,335,221
1111012000,2024-01-31,서울특별시,종로구,신문로1가,신문로1가,75,40,35,2,2,5,2
1111012100,2024-01-31,서울특별시,종로구,신문로2가,신문로2가,723,316,407,29,48,68,48
1111012200,2024-01-31,서울특별시,종로구,청진동,청진동,54,35,19,2,2,3,4
1111012300,2024-01-31,서울특별시,종로구,서린동,서린동,2,2,0,0,0,0,0
1111012400,2024-01-31,서울특별시,종로구,수송동,수송동,243,113,130,7,12,15,18
1111012500,2024-01-31,서울특별시,종로구,중학동,중학동,4,3,1,1,0,0,0
1111012600,2024-01-31,서울특별시,종로구,종로1가,종로1가,107,58,49,7,8,7,10
1111012700,2024-01-31,서울특별시,종로구,공평동,공평동,1,1,0,0,0,0,0
1111012800,2024-01-31,서울특별시,종로구,관훈동,관훈동,106,65,41,7,2,2,8
1111012900,2024-01-31,서울특별시,종로구,견지동,견지동,230,105,125,8,15,23,16
1111013000,2024-01-31,서울특별시,종로구,와룡동,와룡동,94,54,40,1,1,7,5
1111013100,2024-01-31,서울특별시,종로구,권농동,권농동,131,69,62,2,1,6,7
1111013200,2024-01-31,서울특별시,종로구,운니동,운니동,167,103,64,18,12,8,19
1111013300,2024-01-31,서울특별시,종로구,익선동,익선동,1012,567,445,75,80,67,121
1111013400,2024-01-31,서울특별시,종로구,경운동,경운동,256,128,128,20,24,24,27
1111013500,2024-01-31,서울특별시,종로구,관철동,관철동,241,166,75,42,27,17,38
