city_name,county_name,town_name,area__k____,Composition____,Administrative,Legal,Subtotal,Subtotal_1,total_area
서울시,종로구,신문로2가,1.23,0.2,1,12,16,68,1.23
서울시,종로구,종로4가,2.35,0.39,1,28,21,67,2.35
서울시,종로구,세종로,2.57,0.42,1,9,22,94,2.57
서울시,중구,충정로1가,0.95,0.16,1,11,6,30,0.95
서울시,중구,예장동,0.99,0.16,1,18,10,41,0.99
서울시,종로구,창신동,0.26,0.04,1,-,19,105,0.8
서울시,종로구,창신동,0.23,0.04,1,-,14,75,0.8
서울시,종로구,숭인동,0.35,0.06,1,-,16,80,0.58
서울시,중구,신당동,0.39,0.06,1,-,22,136,1.98
서울시,중구,신당동,0.51,0.08,1,-,20,125,1.98
서울시,중구,신당동,0.48,0.08,1,-,31,201,1.98
서울시,중구,신당동,0.34,0.06,1,-,20,165,1.98
서울시,중구,신당동,0.26,0.04,1,-,18,118,1.98
서울시,용산구,이촌동,1.22,0.2,1,-,14,96,4.08
서울시,용산구,이태원동,0.86,0.14,1,-,17,131,1.43
서울시,성동구,행당동,0.42,0.07,1,-,27,160,2.11
서울시,성동구,성수동1가,0.89,0.15,1,-,23,181,2.86
서울시,성동구,성수동2가,1.03,0.17,1,-,23,158,2.2
서울시,광진구,중곡동,0.55,0.09,1,-,21,173,4.09
서울시,광진구,중곡동,0.6,0.1,1,-,21,169,4.09
서울시,광진구,중곡동,2.32,0.38,1,-,28,216,4.09
서울시,광진구,구의동,1.39,0.23,1,-,21,185,2.9699999999999998
서울시,광진구,구의동,1.02,0.17,1,-,30,218,2.9699999999999998
서울시,광진구,자양동,1.68,0.28,1,-,26,213,4.609999999999999
서울시,광진구,자양동,1.2,0.2,1,-,25,244,4.609999999999999
서울시,광진구,자양동,1.16,0.19,1,-,26,161,4.609999999999999
서울시,동대문구,휘경동,1.05,0.17,1,-,20,148,1.6800000000000002
서울시,동대문구,전농동,0.86,0.14,1,-,21,148,2.05
서울시,동대문구,답십리동,0.85,0.14,1,-,28,210,1.6600000000000001
서울시,동대문구,장안동,1.09,0.18,1,-,27,200,2.34
서울시,동대문구,이문동,0.69,0.11,1,-,20,167,1.73
서울시,중랑구,면목동,0.77,0.13,1,-,36,258,6.01
서울시,중랑구,면목동,0.87,0.14,1,-,32,232,6.01
서울시,중랑구,면목동,0.7,0.12,1,-,18,130,6.01
서울시,중랑구,면목동,1.2,0.2,1,-,34,249,6.01
서울시,중랑구,상봉동,0.65,0.11,1,-,27,189,1.53
서울시,중랑구,중화동,1.01,0.17,1,-,44,333,1.65
서울시,중랑구,묵동,0.67,0.11,1,-,26,207,1.87
서울시,중랑구,망우동,0.92,0.15,1,-,25,182,3.9499999999999997
서울시,중랑구,신내동,0.93,0.15,1,-,37,259,3.49
서울시,중랑구,면목동,1.63,0.27,1,-,38,295,6.01
서울시,성북구,길음동,0.44,0.07,1,-,16,114,1.23
서울시,성북구,길음동,0.79,0.13,1,-,23,205,1.23
서울시,성북구,하월곡동,0.58,0.1,1,-,20,161,1.3900000000000001
서울시,성북구,하월곡동,0.81,0.13,1,-,22,229,1.3900000000000001
서울시,성북구,장위동,0.7,0.12,1,-,29,232,2.02
서울시,성북구,동선동5가,0.73,0.12,1,-,19,130,0.73
서울시,성북구,종암동,1.46,0.24,1,-,34,267,1.46
서울시,강북구,번동,0.95,0.16,1,-,25,214,2.71
서울시,강북구,번동,1.1,0.18,1,-,24,230,2.71
서울시,강북구,수유동,0.57,0.09,1,-,24,215,6.24
서울시,강북구,수유동,0.72,0.12,1,-,29,240,6.24
서울시,강북구,미아동,0.91,0.15,1,-,37,330,4.37
서울시,강북구,미아동,1.01,0.17,1,-,41,358,4.37
서울시,강북구,미아동,0.9,0.15,1,-,42,350,4.37
서울시,강북구,미아동,0.62,0.1,1,-,31,259,4.37
서울시,강북구,수유동,3.28,0.54,1,-,32,277,6.24
서울시,도봉구,쌍문동,0.54,0.09,1,-,22,183,2.8
서울시,도봉구,쌍문동,0.5,0.08,1,-,20,138,2.8
서울시,도봉구,쌍문동,0.52,0.09,1,-,23,167,2.8
서울시,도봉구,방학동,0.74,0.12,1,-,28,211,4.050000000000001
서울시,도봉구,방학동,2.62,0.43,1,-,33,250,4.050000000000001
서울시,도봉구,창동,1.05,0.17,1,-,32,231,4.25
서울시,도봉구,창동,0.67,0.11,1,-,19,141,4.25
서울시,도봉구,창동,0.95,0.16,1,-,35,252,4.25
서울시,도봉구,창동,0.7,0.12,1,-,26,220,4.25
서울시,도봉구,도봉동,0.83,0.14,1,-,36,309,9.55
서울시,노원구,월계동,1.94,0.32,1,-,47,347,4.27
서울시,노원구,월계동,1.17,0.19,1,-,49,435,4.27
서울시,노원구,공릉동,6.82,1.13,1,-,44,389,8.23
서울시,노원구,하계동,0.51,0.08,1,-,27,219,2.06
서울시,노원구,중계동,1.97,0.33,1,-,33,279,5.2
서울시,노원구,중계동,1.7,0.28,1,-,26,229,5.2
서울시,노원구,상계동,0.61,0.1,1,-,28,206,15.68
서울시,노원구,상계동,1.01,0.17,1,-,37,304,15.68
서울시,노원구,상계동,0.67,0.11,1,-,28,226,15.68
서울시,노원구,상계동,0.81,0.13,1,-,27,258,15.68
서울시,노원구,상계동,0.8,0.13,1,-,26,218,15.68
서울시,노원구,상계동,5.05,0.83,1,-,51,385,15.68
서울시,노원구,상계동,1.11,0.18,1,-,49,405,15.68
서울시,노원구,중계동,0.9,0.15,1,-,51,416,5.2
서울시,은평구,갈현동,0.96,0.16,1,-,31,199,1.93
서울시,은평구,응암동,0.78,0.13,1,-,37,240,2.61
서울시,은평구,신사동,1.0,0.17,1,-,28,199,1.8399999999999999
