동별(1),동별(2),동별(3),소계,전,답,과수원,목장용지,임야,광천지,염전,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
서울시,소계,소계,605204030,9048327,7660375.5,248118.4,388,136749712.1,-,-,223108814.4,2842072.1,24926848.1,1274754.3,551512.3,81249.9,80615923.1,7101235.6,3827014.2,52057989.5,3235365.2,1515865.1,-,1582510.8,24584690.6,1478365.7,43339,2401141.1,1688804.2,2321754.2,16257859.6
서울시,종로구,소계,23913222.8,799040.5,-,-,-,9359264.1,-,-,8197081.1,-,904734.8,22566.6,5974.6,-,2385258.2,932.9,10946.9,275951.2,164383.4,-,-,85.2,320402.3,-,-,106967.4,1244517.4,11001,104115.2
서울시,종로구,청운동,797032.5,-,-,-,-,441206.1,-,-,176829.7,-,99338.1,-,-,-,50790.1,-,-,2529.3,3705.4,-,-,-,22633.8,-,-,-,-,-,-
서울시,종로구,신교동,99144,-,-,-,-,6344.3,-,-,37969.5,-,37241.8,1971.4,-,-,10024.7,-,-,831.1,441.3,-,-,-,3888.6,-,-,342.8,88.5,-,-
서울시,종로구,궁정동,73042.7,-,-,-,-,-,-,-,36054,-,-,-,-,-,14836.6,-,-,-,333.8,-,-,-,-,-,-,-,21818.3,-,-
서울시,종로구,효자동,59135.9,-,-,-,-,-,-,-,44176.8,-,-,787.4,-,-,12877.4,-,-,429.8,864.5,-,-,-,-,-,-,-,-,-,-
서울시,종로구,창성동,59706.1,-,-,-,-,-,-,-,43532.5,-,-,-,-,-,14495.8,-,-,-,1033.2,-,-,-,-,-,-,644.6,-,-,-
서울시,종로구,통의동,62960.3,-,-,-,-,-,-,-,44624.8,-,-,-,-,-,17045.9,-,-,1107.5,182.1,-,-,-,-,-,-,-,-,-,-
서울시,종로구,적선동,43131.9,-,-,-,-,-,-,-,22424.1,-,-,2969.4,-,-,16072.2,148.8,-,638,879.4,-,-,-,-,-,-,-,-,-,-
서울시,종로구,통인동,50330.9,-,-,-,-,-,-,-,38948,-,-,-,-,-,9990.8,-,-,727.3,664.8,-,-,-,-,-,-,-,-,-,-
서울시,종로구,누상동,261803.6,-,-,-,-,187452.2,-,-,45223.5,-,16232.6,1216.5,-,-,10491.6,-,-,-,1187.2,-,-,-,-,-,-,-,-,-,-
서울시,종로구,누하동,56702.3,-,-,-,-,-,-,-,30475,-,14185.7,-,-,-,11370.6,-,-,49.6,621.4,-,-,-,-,-,-,-,-,-,-
서울시,종로구,옥인동,414842.7,-,-,-,-,225416.2,-,-,109282.9,-,-,430,-,-,30668.3,-,-,826.5,1130.6,-,-,-,47088.2,-,-,-,-,-,-
서울시,종로구,체부동,45188.5,-,-,-,-,-,-,-,37523.3,-,-,-,-,-,4144.9,-,-,644.6,2677.4,-,-,-,-,-,-,198.3,-,-,-
서울시,종로구,필운동,86207.7,-,-,-,-,9809,-,-,38068.6,-,20065.4,337.2,-,-,15189.2,-,-,-,187.1,-,-,-,-,-,-,2551.2,-,-,-
서울시,종로구,내자동,52259.8,-,-,-,-,-,-,-,35314.4,-,-,-,-,-,15523,-,-,-,1422.4,-,-,-,-,-,-,-,-,-,-
서울시,종로구,사직동,284141.8,-,-,-,-,79726.2,-,-,86570.5,-,4032.6,521.3,617.5,-,44551.4,-,-,-,1543.8,-,-,-,22991.7,-,-,-,43586.8,-,-
서울시,종로구,도렴동,29147.7,-,-,-,-,-,-,-,19348.9,-,-,-,-,-,6380.6,-,-,-,1246.9,-,-,-,441.8,-,-,1729.5,-,-,-
서울시,종로구,당주동,43172.3,-,-,-,-,-,-,-,27634.7,-,-,42.5,-,-,12222.2,-,-,-,619.5,-,-,-,2413,-,-,240.4,-,-,-
서울시,종로구,내수동,70392.5,-,-,-,-,-,-,-,50374.6,-,-,-,-,-,13478.3,-,-,-,1153,-,-,-,5386.6,-,-,-,-,-,-
서울시,종로구,세종로,888697.3,-,-,-,-,-,-,-,429522.1,-,-,-,-,-,129839.4,-,-,6879.4,299,-,-,-,6446.1,-,-,-,315711.3,-,-
서울시,종로구,신문로1가,65615.3,-,-,-,-,-,-,-,32854.2,-,-,555.7,-,-,26525.1,-,-,-,536.9,-,-,-,1097,-,-,3996.6,-,-,49.8
서울시,종로구,신문로2가,256641.8,-,-,-,-,-,-,-,220426.6,-,-,-,-,-,33343.1,-,-,-,69.3,-,-,-,2478.8,-,-,-,324,-,-
서울시,종로구,청진동,61547.9,-,-,-,-,-,-,-,42156,-,-,-,-,-,16081.2,-,-,625.8,376.9,-,-,-,2308,-,-,-,-,-,-
서울시,종로구,서린동,47251.3,-,-,-,-,-,-,-,27398,-,-,-,-,-,15234.3,-,-,3342.1,-,-,-,-,1276.9,-,-,-,-,-,-
서울시,종로구,수송동,98470.8,-,-,-,-,-,-,-,73028.5,-,-,-,-,-,15054.8,-,-,835.3,279,-,-,-,3703.3,-,-,5569.9,-,-,-
서울시,종로구,중학동,30639.1,-,-,-,-,-,-,-,15102.5,-,-,-,-,-,13903.5,-,-,1533.9,99.2,-,-,-,-,-,-,-,-,-,-
서울시,종로구,종로1가,28463.2,-,-,-,-,-,-,-,6103.2,-,-,-,-,-,21993.1,-,-,366.9,-,-,-,-,-,-,-,-,-,-,-
서울시,종로구,공평동,38723.9,-,-,-,-,-,-,-,28824.4,-,-,-,-,-,9899.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울시,종로구,관훈동,73374,-,-,-,-,-,-,-,56815.5,-,-,-,-,-,15271.5,-,-,-,1287,-,-,-,-,-,-,-,-,-,-
